Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_145040_20180723_20180731_01_T1,LC81450402018204LGN00,2018/07/23,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/07/31,2018:204:05:11:37.5099970,2018:204:05:12:09.2799950,LGN,DAY,82.19,82.19,25,4,9.969,6.359,7.678,9,LPGS_13.1.0,66.37408362,106.39407918,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15421,7861,7711,7861,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180723045719_20180723052247.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'10.24"N,79°29'14.42"E,29°54'58.21"N,78°45'19.15"E,29°32'20.58"N,80°39'42.08"E,28°11'15.47"N,78°19'34.79"E,27°48'35.68"N,80°12'03.60"E,28.86951,79.48734,29.91617,78.75532,29.53905,80.66169,28.18763,78.32633,27.80991,80.201,LC08_L1TP_145040_20180723_20180731_01_T1,LC81450402018204LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018204LGN00
LC08_L1GT_147039_20180721_20180731_01_T2,LC81470392018202LGN00,2018/07/21,T2,1, 147, 039, 147, 039,NADIR,-.001,2018/07/31,2018:202:05:23:34.5423380,2018:202:05:24:06.3123370,LGN,DAY,86.89,86.89,-1,4,0,0,0,9,LPGS_13.1.0,66.36250666,108.96928457,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15461,15181,7731,7591,7731,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180721050916_20180721053021.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'23.08"N,76°46'09.88"E,31°21'12.85"N,76°01'41.05"E,30°58'25.86"N,77°57'44.35"E,29°37'33.82"N,75°35'27.28"E,29°14'45.49"N,77°29'28.18"E,30.30641,76.76941,31.35357,76.02807,30.97385,77.96232,29.62606,75.59091,29.24597,77.49116,LC08_L1GT_147039_20180721_20180731_01_T2,LC81470392018202LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018202LGN00
LC08_L1TP_147040_20180721_20180731_01_T1,LC81470402018202LGN00,2018/07/21,T1,1, 147, 040, 147, 040,NADIR,-.001,2018/07/31,2018:202:05:23:58.4418490,2018:202:05:24:30.2118480,LGN,DAY,88.33,88.33,40,4,8.638,6.043,6.172,9,LPGS_13.1.0,66.56092488,105.51992778,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180721050916_20180721053021.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.12"N,76°23'44.30"E,29°54'57.28"N,75°39'46.87"E,29°32'18.82"N,77°34'14.30"E,28°11'14.96"N,75°14'02.65"E,27°48'34.34"N,77°06'35.89"E,28.8692,76.39564,29.91591,75.66302,29.53856,77.57064,28.18749,75.23407,27.80954,77.10997,LC08_L1TP_147040_20180721_20180731_01_T1,LC81470402018202LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018202LGN00
LC08_L1TP_146039_20180714_20180730_01_T1,LC81460392018195LGN00,2018/07/14,T1,1, 146, 039, 146, 039,NADIR,-.001,2018/07/30,2018:195:05:17:20.9734070,2018:195:05:17:52.7434050,LGN,DAY,78.74,78.74,47,4,9.186,6.224,6.756,9,LPGS_13.1.0,67.03728628,106.42029484,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15821,15561,7911,7781,7911,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180714044419_20180714052607.02,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'21.60"N,78°18'38.05"E,31°21'11.20"N,77°34'10.27"E,30°58'24.46"N,79°30'11.70"E,29°37'32.30"N,77°07'56.46"E,29°14'44.27"N,79°01'55.52"E,30.306,78.31057,31.35311,77.56952,30.97346,79.50325,29.62564,77.13235,29.24563,79.03209,LC08_L1TP_146039_20180714_20180730_01_T1,LC81460392018195LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018195LGN00
LC08_L1GT_146040_20180714_20180730_01_T2,LC81460402018195LGN00,2018/07/14,T2,1, 146, 040, 146, 040,NADIR,-.001,2018/07/30,2018:195:05:17:44.8686810,2018:195:05:18:16.6386800,LGN,DAY,99.92,99.92,-1,4,0,0,0,9,LPGS_13.1.0,67.16972703,102.84976087,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180714044419_20180714052607.02,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.80"N,77°56'12.77"E,29°54'56.56"N,77°12'17.50"E,29°32'18.89"N,79°06'40.64"E,28°11'13.99"N,76°46'33.06"E,27°48'34.16"N,78°39'02.16"E,28.86911,77.93688,29.91571,77.20486,29.53858,79.11129,28.18722,76.77585,27.80949,78.6506,LC08_L1GT_146040_20180714_20180730_01_T2,LC81460402018195LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018195LGN00
LC08_L1TP_145039_20180707_20180717_01_T1,LC81450392018188LGN00,2018/07/07,T1,1, 145, 039, 145, 039,NADIR,-.001,2018/07/17,2018:188:05:11:06.9008900,2018:188:05:11:38.6708880,LGN,DAY,15.39,15.39,273,4,8.214,5.523,6.08,9,LPGS_13.1.0,67.62421467,104.55296271,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15421,7851,7711,7851,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180707043741_20180707052240.02,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'23.33"N,79°51'12.56"E,31°21'12.85"N,79°06'44.60"E,30°58'26.08"N,81°02'46.14"E,29°37'33.96"N,78°40'30.76"E,29°14'45.92"N,80°34'29.96"E,30.30648,79.85349,31.35357,79.11239,30.97391,81.04615,29.6261,78.67521,29.24609,80.57499,LC08_L1TP_145039_20180707_20180717_01_T1,LC81450392018188LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018188LGN00
LC08_L1TP_145040_20180707_20180717_01_T1,LC81450402018188LGN00,2018/07/07,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/07/17,2018:188:05:11:30.8004010,2018:188:05:12:02.5703990,LGN,DAY,10.67,10.67,114,4,7.919,5.368,5.822,9,LPGS_13.1.0,67.70795199,100.87654311,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15441,7861,7721,7861,7721,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180707043741_20180707052240.02,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.62"N,79°28'46.99"E,29°54'57.46"N,78°44'51.32"E,29°32'19.64"N,80°39'15.05"E,28°11'15.07"N,78°19'06.89"E,27°48'35.10"N,80°11'36.56"E,28.86934,79.47972,29.91596,78.74759,29.53879,80.65418,28.18752,78.31858,27.80975,80.19349,LC08_L1TP_145040_20180707_20180717_01_T1,LC81450402018188LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018188LGN00
LC08_L1TP_147039_20180705_20180717_01_T1,LC81470392018186LGN00,2018/07/05,T1,1, 147, 039, 147, 039,NADIR,-.001,2018/07/17,2018:186:05:23:27.5575730,2018:186:05:23:59.3275720,LGN,DAY,69.18,69.18,138,4,8.174,5.422,6.116,9,LPGS_13.1.0,67.77451516,104.15606338,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15461,15181,7731,7591,7731,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180705045002_20180705053014.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'21.53"N,76°45'45.36"E,31°21'11.16"N,76°01'16.14"E,30°58'23.99"N,77°57'20.16"E,29°37'32.34"N,75°35'02.54"E,29°14'43.84"N,77°29'04.16"E,30.30598,76.7626,31.3531,76.02115,30.97333,77.9556,29.62565,75.58404,29.24551,77.48449,LC08_L1TP_147039_20180705_20180717_01_T1,LC81470392018186LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018186LGN00
LC08_L1TP_147040_20180705_20180717_01_T1,LC81470402018186LGN00,2018/07/05,T1,1, 147, 040, 147, 040,NADIR,-.001,2018/07/17,2018:186:05:23:51.4443760,2018:186:05:24:23.2143750,LGN,DAY,22.55,22.55,207,4,7.764,5.662,5.312,9,LPGS_13.1.0,67.84786159,100.45444008,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15201,7741,7601,7741,7601,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180705045002_20180705053014.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'10.34"N,76°23'20.65"E,29°54'58.50"N,75°39'22.75"E,29°32'19.90"N,77°33'50.90"E,28°11'16.51"N,75°13'38.53"E,27°48'35.71"N,77°06'12.53"E,28.86954,76.38907,29.91625,75.65632,29.53886,77.56414,28.18792,75.22737,27.80992,77.10348,LC08_L1TP_147040_20180705_20180717_01_T1,LC81470402018186LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018186LGN00
LC08_L1TP_146039_20180628_20180704_01_T1,LC81460392018179LGN00,2018/06/28,T1,1, 146, 039, 146, 039,NADIR,0,2018/07/04,2018:179:05:17:12.9886920,2018:179:05:17:44.7586900,LGN,DAY,48.42,48.42,110,4,9.7,6.372,7.314,9,LPGS_13.1.0,68.24266063,103.2795464,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15821,15561,7911,7781,7911,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180628031851_20180628052559.01,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.61"N,78°18'27.94"E,31°21'12.38"N,77°33'59.72"E,30°58'25.43"N,79°30'01.48"E,29°37'33.64"N,77°07'45.77"E,29°14'45.42"N,79°01'45.19"E,30.30628,78.30776,31.35344,77.56659,30.97373,79.50041,29.62601,77.12938,29.24595,79.02922,LC08_L1TP_146039_20180628_20180704_01_T1,LC81460392018179LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018179LGN00
